dt,raw,clean,chourly,cdaily,tdaily,cyearly,c15min
12/10/2022 11:00,0.0,0.0,2.0,3.5,0,459.0,2.0
12/10/2022 12:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 13:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 14:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 15:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 16:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 17:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 18:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 19:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 20:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 21:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 22:00,0.0,0.0,0.0,3.5,0,459.0,0.0
12/10/2022 23:00,0.0,0.0,0.0,3.5,0,459.0,0.0
13/10/2022 00:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 01:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 02:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 03:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 04:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 05:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 06:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 07:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 08:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 09:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 10:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 11:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 12:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 13:00,0.0,0.0,0.0,0.0,0,459.0,0.0
13/10/2022 13:15,5.5,5.5,5.5,5.5,0,464.5,5.5
13/10/2022 14:00,37.0,37.0,37.0,42.5,0,501.5,37.0
13/10/2022 14:15,0.0,0.0,0.0,42.5,0,501.5,0.0
13/10/2022 15:00,1.0,1.0,1.0,43.5,0,502.5,1.0
13/10/2022 16:00,1.0,1.0,1.0,44.5,0,503.5,1.0
13/10/2022 17:00,0.0,0.0,0.0,44.5,0,503.5,0.0
13/10/2022 18:00,0.0,0.0,0.0,44.5,0,503.5,0.0
13/10/2022 19:00,0.0,0.0,0.0,44.5,0,503.5,0.0
13/10/2022 20:00,0.0,0.0,0.0,44.5,0,503.5,0.0
13/10/2022 21:00,0.0,0.0,0.0,44.5,0,503.5,0.0
